split,state,count,sharePct,matureOutcomes,successes,successRatePct,falsePositives,rightCensored,averageForwardReturnPct,averageMaePct,averageMfePct,averageLeadTimeMinutes,maximumPersistenceScans
DEVELOPMENT,MAJOR_BREAKOUT,11,5.2133,11,7,63.6364,4,0,0.081853,-0.020182,0.188382,,2
DEVELOPMENT,ROTATION_SETUP,3,1.4218,3,3,100,0,0,0.26232,0.023678,0.28482,,1
DEVELOPMENT,ALT_ROTATION_CONFIRMED,1,0.4739,1,1,100,0,0,0.219458,-0.120139,0.219458,14.993717,1
DEVELOPMENT,NO_CLEAR_ROTATION,185,87.6777,181,0,,0,4,0.056796,-0.128601,0.190985,,40
DEVELOPMENT,CASCADE_RISK,11,5.2133,11,4,36.3636,7,0,0.066884,-0.080795,0.21897,,2
HOLDOUT,MAJOR_BREAKOUT,7,12.963,7,3,42.8571,4,0,-0.142681,-0.273346,-0.007502,,1
HOLDOUT,ROTATION_SETUP,1,1.8519,0,0,,0,1,,,,,1
HOLDOUT,ALT_ROTATION_CONFIRMED,0,0,0,0,,0,0,,,,,0
HOLDOUT,NO_CLEAR_ROTATION,46,85.1852,43,0,,0,3,0.056764,-0.112302,0.192378,,16
HOLDOUT,CASCADE_RISK,0,0,0,0,,0,0,,,,,0
