split,fromState,toState,count
DEVELOPMENT,ALT_ROTATION_CONFIRMED,NO_CLEAR_ROTATION,1
DEVELOPMENT,CASCADE_RISK,NO_CLEAR_ROTATION,9
DEVELOPMENT,MAJOR_BREAKOUT,NO_CLEAR_ROTATION,8
DEVELOPMENT,NO_CLEAR_ROTATION,CASCADE_RISK,9
DEVELOPMENT,NO_CLEAR_ROTATION,MAJOR_BREAKOUT,7
DEVELOPMENT,NO_CLEAR_ROTATION,ROTATION_SETUP,3
DEVELOPMENT,ROTATION_SETUP,ALT_ROTATION_CONFIRMED,1
DEVELOPMENT,ROTATION_SETUP,MAJOR_BREAKOUT,1
DEVELOPMENT,ROTATION_SETUP,NO_CLEAR_ROTATION,1
HOLDOUT,MAJOR_BREAKOUT,NO_CLEAR_ROTATION,7
HOLDOUT,NO_CLEAR_ROTATION,MAJOR_BREAKOUT,7
HOLDOUT,NO_CLEAR_ROTATION,ROTATION_SETUP,1
HOLDOUT,ROTATION_SETUP,NO_CLEAR_ROTATION,1
